GDP/breakdown at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Manufacturing (ISIC D),"373,877,335","391,455,372","341,092,789","370,557,664","460,817,618","505,912,461","546,384,476","631,350,868","705,273,363","791,037,398","778,217,708","742,894,152","737,621,190","724,218,715","716,158,634","721,942,252","692,941,769","616,003,995","447,692,385","511,180,371","732,751,506","665,367,324","413,293,540","273,798,361","170,408,801","172,725,000","209,795,630","255,257,844","310,306,362","364,578,782","595,091,399","698,864,639","725,472,357","768,250,299","916,453,414","1,033,446,125","1,142,305,901","1,724,289,847","1,828,451,829","1,598,350,720","1,957,764,950","2,506,491,980","2,569,646,553","2,365,310,821","2,373,710,642","2,296,802,075"
Afghanistan,Construction (ISIC F),"47,265,585","49,487,974","43,120,174","46,846,637","58,257,347","63,952,146","69,081,948","79,815,901","89,127,515","100,074,312","98,350,531","93,775,024","93,619,204","91,240,312","90,077,381","93,099,995","85,299,993","77,100,008","63,700,003","79,300,006","112,500,008","106,400,000","134,900,005","103,900,000","76,500,000","164,600,000","164,479,824","164,359,737","164,239,737","158,792,896","213,421,729","229,567,300","184,076,339","251,011,256","432,936,873","608,854,330","788,597,679","830,630,984","870,474,335","992,627,919","1,238,944,046","1,394,720,286","1,595,694,541","1,695,056,657","1,877,287,218","2,032,602,012"
Afghanistan,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","228,666,504","239,405,657","208,640,693","226,619,566","281,784,694","309,617,067","333,952,851","385,921,667","432,702,258","481,606,709","475,832,619","460,827,487","438,733,578","448,508,812","463,362,340","375,100,001","481,500,001","449,700,010","242,999,998","154,800,002","1,007,299,991","456,300,002","481,900,004","326,499,997","137,700,000","312,100,000","255,161,993","208,611,479","170,553,414","134,912,646","148,354,129","167,335,201","430,569,367","465,129,599","516,414,226","581,598,830","641,157,494","897,681,919","957,161,567","989,826,130","1,284,711,266","1,532,504,506","1,871,433,228","1,826,120,717","1,736,597,074","1,752,380,958"
Afghanistan,"Transport, storage and communication (ISIC I)","84,762,563","88,745,458","77,327,147","84,015,070","104,462,407","114,688,898","123,915,465","143,050,778","159,900,189","179,624,943","175,830,580","168,746,372","168,276,600","161,153,838","165,274,171","166,799,997","142,200,002","157,400,002","122,100,004","151,899,999","220,299,999","212,800,000","252,999,997","86,600,004","57,299,999","212,500,000","215,133,893","217,800,432","220,500,022","215,987,473","294,105,554","344,350,950","428,961,344","636,387,360","782,584,501","765,497,689","950,739,819","1,439,613,595","1,820,531,371","2,312,250,373","3,141,125,289","3,731,105,122","4,763,812,464","5,303,543,858","5,032,778,724","5,043,584,584"
Afghanistan,Other Activities (ISIC J-P),"129,035,466","135,102,278","117,719,981","127,890,270","159,041,626","174,600,258","188,578,614","217,897,527","243,383,085","273,064,199","268,562,243","256,279,528","254,861,204","249,712,488","246,787,947","250,600,018","237,400,014","211,900,012","147,399,984","172,999,986","241,400,005","227,399,995","257,699,994","177,400,000","119,900,000","245,500,001","234,909,015","224,784,006","215,104,011","199,167,678","256,366,346","237,864,913","509,891,458","562,806,609","682,679,207","912,705,675","1,028,756,328","1,423,201,127","1,696,490,619","1,981,798,311","2,891,235,407","3,425,802,158","3,688,665,276","3,644,657,126","3,672,162,609","3,452,600,658"
Afghanistan,Total Value Added,"1,748,905,464","1,831,128,716","1,595,572,660","1,733,352,009","2,155,578,723","2,366,691,969","2,555,583,572","2,953,364,876","3,300,034,860","3,697,983,575","3,641,758,885","3,478,823,324","3,438,936,748","3,399,452,075","3,360,484,639","3,322,000,002","3,320,499,991","2,887,599,993","2,664,200,010","3,342,100,001","3,621,600,007","3,340,100,005","3,474,600,007","2,664,399,992","2,114,600,000","3,236,300,000","3,078,205,867","2,947,208,167","2,842,648,494","2,674,890,351","3,531,869,351","3,620,525,250","4,136,872,395","4,721,513,514","5,210,144,672","6,195,989,370","7,041,215,233","9,861,831,487","10,220,715,176","11,856,850,472","15,086,477,334","17,997,237,485","20,116,336,157","20,348,896,212","19,995,527,664","19,217,075,595"
Albania,Final consumption expenditure,"1,518,291,365","1,561,968,405","1,606,908,267","1,652,656,555","1,700,683,918","1,749,635,603","1,797,864,494","1,853,301,729","1,905,109,255","1,581,494,846","1,450,000,000","1,478,142,857","1,495,428,571","1,569,428,571","1,626,571,429","1,635,571,429","1,708,142,857","1,778,285,714","1,854,872,543","2,126,753,631","1,844,350,257","1,805,146,236","2,604,975,212","2,273,125,027","2,063,377,327","2,489,352,955","3,515,126,236","2,482,995,844","2,764,911,649","3,153,486,586","3,110,384,825","3,266,763,687","3,796,133,045","4,870,665,786","6,458,854,882","7,204,023,317","7,809,407,641","9,613,305,282","11,998,781,955","11,030,426,946","10,605,503,874","11,464,347,164","10,899,824,034","11,366,804,490","12,015,326,182","10,233,772,066"
Albania,Household consumption expenditure (including Non-profit institutions serving households),"1,312,560,783","1,350,286,963","1,389,164,022","1,428,759,886","1,470,097,115","1,512,641,040","1,554,448,120","1,601,423,386","1,647,804,462","1,367,667,641","1,250,714,286","1,282,285,714","1,292,571,429","1,359,857,143","1,404,714,286","1,411,571,429","1,477,857,143","1,540,714,286","1,613,793,085","1,858,401,270","1,617,477,449","1,452,512,992","2,306,610,081","2,032,858,283","1,802,824,642","2,162,833,081","3,214,067,209","2,249,771,431","2,489,601,767","2,816,175,024","2,770,492,111","2,849,146,478","3,305,841,067","4,258,041,831","5,666,191,895","6,328,686,866","6,909,212,230","8,539,048,574","10,661,831,988","9,692,383,852","9,274,770,791","10,049,681,480","9,563,766,609","9,977,578,821","10,500,445,175","8,850,133,096"
Albania,General government final consumption expenditure,"205,730,582","211,681,441","217,744,245","223,896,669","230,586,803","236,994,563","243,416,374","251,878,343","257,304,794","213,827,206","199,285,714","195,857,143","202,857,143","209,571,429","221,857,143","224,000,000","230,285,714","237,571,429","241,079,458","268,352,360","226,872,808","352,633,245","298,365,131","240,266,744","260,552,686","326,519,874","301,059,027","233,224,413","275,309,882","337,311,561","339,892,714","417,617,209","490,291,978","612,623,956","792,662,987","875,336,451","900,195,411","1,074,256,707","1,336,949,968","1,338,043,093","1,330,733,084","1,414,665,683","1,336,057,425","1,389,225,669","1,514,881,006","1,383,638,970"
Albania,Gross capital formation,"824,850,020","848,318,607","872,343,965","898,790,644","922,806,967","948,579,365","983,026,379","998,756,168","1,030,292,284","886,743,469","747,571,429","807,857,143","929,714,286","851,857,143","747,857,143","810,285,714","779,428,571","688,142,857","745,277,353","966,721,026","543,436,441","117,205,279","78,836,630","224,472,539","336,690,189","502,480,626","459,479,466","386,728,466","569,701,017","797,759,849","1,133,815,083","1,531,004,623","1,653,121,524","2,262,938,127","2,668,361,123","2,962,115,809","3,441,016,193","4,060,670,607","4,608,745,298","4,162,213,326","3,614,900,557","4,049,484,804","3,490,014,917","3,624,524,352","3,773,601,705","3,254,517,737"
